Abington,"-70.9345,42.1071"
Andover,"-71.1446,42.6579"
Ashland,"-71.4826,42.2616"
Attleboro,"-71.2849,41.9413"
Auburndale,"-71.2503,42.3458"
Ayer,"-71.589672,42.559064"
Ballardvale,"-71.1599,42.6277"
Bellevue,"-71.1456,42.2866"
Belmont Center,"-71.175,42.395833"
Beverly,"-70.8854,42.5476"
Beverly Farms,"-70.8113,42.56175"
Blue Hill Avenue,"-71.0959,42.2714"
Boston Landing,"-71.1393,42.3572"
Bourne,"-70.5958,41.7444"
Bradford,"-71.088333,42.766944"
Braintree,"-71.0014,42.2074"
Brandeis/Roberts,"-71.260106,42.362011"
Bridgewater,"-70.9658,41.9853"
Brockton,"-71.01655,42.0847"
Buzzards Bay,"-70.615833,41.745"
Canton Center,"-71.1463,42.1571"
Canton Junction,"-71.1537,42.1628"
Chelsea,"-71.0342,42.3957"
Cohasset,"-70.837,42.2424"
Concord,"-71.35805,42.457147"
Dedham Corporate Center,"-71.1743,42.227"
East Weymouth,"-70.9214,42.2191"
Endicott,"-71.1589,42.2332"
Fairmount,"-71.1191,42.2538"
Fitchburg,"-71.7926,42.5808"
Forest Hills,"-71.1149,42.2988"
Forge Park/495,"-71.439,42.0899"
Four Corners/Geneva,"-71.078354,42.303284"
Franklin/Dean College,"-71.3961,42.0833"
Gloucester,"-70.6683,42.6167"
Grafton,"-71.6859,42.2463"
Greenbush,"-70.746,42.1795"
Greenwood,"-71.0674,42.4829"
Halifax,"-70.8241,42.0146"
Hamilton/Wenham,"-70.874489,42.6101"
Hanson,"-70.882,42.0438"
Hersey,"-71.2149,42.2758"
Highland,"-71.154,42.285"
Holbrook/Randolph,"-71.027222,42.156389"
Hyannis,"-70.28,41.6561"
Hyde Park,"-71.1252,42.2552"
Ipswich,"-70.84058,42.6767"
Islington,"-71.184,42.2211"
JFK/UMass,"-71.052222222,42.320555555"
Kendal Green,"-71.2825,42.379166666"
Kingston,"-70.7233,41.9768"
Lansdowne,"-71.1006,42.3476"
Lincoln,"-71.325886,42.414036"
Littleton/Route 495,"-71.50264,42.51967"
Lowell,"-71.3148,42.6366"
Lynn,"-70.94575,42.4628"
Malden Center,"-71.0743,42.4267"
Manchester,"-70.7691,42.574"
Mansfield,"-71.2194,42.0334"
McGovern,"-71.1525,42.7019"
Melrose Highlands,"-71.0684,42.4695"
Melrose/Cedar Park,"-71.0698,42.4588"
Middleborough/Lakeville,"-70.91835,41.8782"
Mishawum,"-71.1376,42.5043"
Montello,"-71.0217,42.1064"
Montserrat,"-70.8687,42.5623"
Morton Street,"-71.0857,42.2806"
Nantasket Junction,"-70.8698,42.2452"
Natick Center,"-71.3472,42.2858"
Needham Center,"-71.2378,42.2804"
Needham Heights,"-71.236,42.2934"
Needham Junction,"-71.2366,42.273"
Newburyport,"-70.8782,42.7981"
Newmarket,"-71.0659,42.3271"
Newtonville,"-71.20525,42.3517"
Norfolk,"-71.3256,42.1204"
North Beverly,"-70.8838,42.584"
North Billerica,"-71.2813,42.5935"
North Leominster,"-71.7393,42.5392"
North Scituate,"-70.7877,42.2197"
North Wilmington,"-71.1597,42.5696"
Norwood Central,"-71.1999,42.18875"
Norwood,"-71.1968,42.1963"
Pawtucket/Central Falls,"-71.3922,41.8787"
Plymouth,"-70.6903,41.9812"
Prides Crossing,"-70.8255,42.5594"
Quincy Center,"-71.0048,42.2509"
Reading,"-71.1075,42.521667"
Readville,"-71.1336,42.2382"
River Works,"-70.97,42.45"
Rockport,"-70.6267,42.6559"
Roslindale Village,"-71.1304,42.2874"
Rowley,"-70.8591,42.7269"
Ruggles,"-71.0895,42.3362"
Salem,"-70.895833333,42.525"
Sharon,"-71.184,42.1247"
Shirley,"-71.64815,42.54505"
Silver Hill,"-71.30191,42.3957"
South Acton,"-71.456881,42.461428"
South Attleboro,"-71.3558,41.8976"
South Weymouth,"-70.9533,42.1548"
Southborough,"-71.525,42.2669"
Stoughton,"-71.099444,42.124167"
Swampscott,"-70.9225,42.473611"
T. F. Green Airport,"-71.4417,41.7275"
Talbot Avenue,"-71.0784,42.2932"
Uphams Corner,"-71.0686,42.3191"
Wachusett,"-71.8477,42.5534"
Wakefield,"-71.075639,42.502222"
Walpole,"-71.257972222,42.145305555"
Waltham,"-71.236311,42.374197"
Wareham Village,"-70.7147,41.7583"
Waverley,"-71.1902,42.3878"
Wedgemere,"-71.1405,42.4445"
Wellesley Farms,"-71.271944,42.323194"
Wellesley Hills,"-71.277,42.3102"
Wellesley Square,"-71.2937,42.2976"
West Concord,"-71.392372,42.456372"
West Gloucester,"-70.7055,42.6119"
West Hingham,"-70.9031,42.2367"
West Medford,"-71.13332,42.4218"
West Natick,"-71.3918,42.2831"
West Newton,"-71.23075,42.3478"
West Roxbury,"-71.159932,42.2816"
Westborough,"-71.6473,42.2696"
Weymouth Landing/East Braintree,"-70.967089,42.2208"
Whitman,"-70.9234,42.0826"
Wickford Junction,"-71.4914,41.5808"
Wilmington,"-71.1747,42.547"
Winchester Center,"-71.1378,42.4516"
Windsor Gardens,"-71.221,42.171"
Wyoming Hill,"-71.0694,42.4519"