station_code,station_name,station_ename,lat,lon
1810,福隆,Fulong,25.0159203,121.9446682
1809,貢寮,Gongliao,25.0220277,121.908659
1808,雙溪,Shuangxi,25.0385468,121.8665289
1807,牡丹,Mudan,25.0586431,121.8519913
1806,三貂嶺,Sandiaoling,25.0655744,121.8226327
1805,猴硐,Houtong,25.0870109,121.8274224
1804,瑞芳,Ruifang,25.108742,121.805989
1803,四腳亭,Sijiaoting,25.1027792,121.7619182
1802,暖暖,Nuannuan,25.10229,121.74032
1001,基隆,Keelung,25.131713,121.738348
1029,三坑,Sankeng,25.123246,121.741993
1002,八堵,Badu,25.108334,121.728975
1003,七堵,Qidu,25.093127,121.713984
1030,百福,Baifu,25.0779332,121.6938105
1004,五堵,Wudu,25.0779696,121.667524
1005,汐止,Xizhi,25.0678163,121.6610789
1031,汐科,Xike,25.0626721,121.6466498
1006,南港,Nangang,25.052526,121.606961
1007,松山,Songshan,25.049284,121.5782834
1008,臺北,Taipei,25.0478142,121.5169488
1009,萬華,Wanhua,25.0333429,121.4999352
1011,板橋,Banqiao,25.014056,121.463569
1032,浮洲,Fuzhou,25.0042058,121.4447523
1012,樹林,Shulin,24.991343,121.424430
1034,南樹林,"South Shulin",24.9804725,121.408831
1013,山佳,Shanjia,24.9727283,121.3925439
1014,鶯歌,Yingge,24.9544759,121.3551843
1015,桃園,Taoyuan,24.989172,121.313507
1016,內壢,Neili,24.9727741,121.2582735
1017,中壢,"Zhongli (Taoyuan)",24.953622,121.225667
1018,埔心,Puxin,24.919588,121.183511
1019,楊梅,Yangmei,24.9143248,121.146438
1020,富岡,Fugang,24.934427,121.083067
1036,新富,Xinfu,24.9310643,121.0675937
1231,大湖,Dahu,22.878191,120.253949
1232,路竹,Luzhu,22.853979,120.266295
1233,岡山,Gangshan,22.7923345,120.3000602
1234,橋頭,Qiaotou,22.761001,120.309962
1235,楠梓,Nanzi,22.727061,120.324335
1242,新左營,Xinzuoying,22.6874408,120.3073967
1236,左營（舊城）,"Zuoying (Jiucheng)",22.6874408,120.3073967
1245,內惟,Neiwei,22.666051,120.287185
1246,美術館,"Museum of Fine Arts",22.652113,120.281529
1237,鼓山,Gushan,22.641837,120.280677
1247,三塊厝,Sankuaicuo,22.639331,120.294062
1238,高雄,Kaohsiung,22.639833,120.301610
1419,民族,Minzu,22.638758,120.314878
1420,科工館,"Science and Tecnology Museum",22.6371229,120.3260051
1421,正義,Zhengyi,22.634218,120.342760
1402,鳳山,Fengshan,22.631274,120.358168
1403,後庄,Houzhuang,22.6401779,120.3912464
1404,九曲堂,Jiuqutang,22.6564116,120.4210032
1405,六塊厝,Liukuaicuo,22.6659525,120.4649672
1406,屏東,Pingtung,22.668922,120.486081
1407,歸來,Guilai,22.6524432,120.5026615
1408,麟洛,Linluo,22.635009,120.514182
1409,西勢,Xishi,22.6162426,120.5264128
1410,竹田,Zhutian,22.586464,120.539963
1411,潮州,Chaozhou,22.550206,120.535892
1412,崁頂,Kanding,22.513082,120.514819
1413,南州,Nanzhou,22.492075,120.511790
1414,鎮安,Zhenan,22.457955,120.5112249
1415,林邊,Linbian,22.4313266,120.5152559
1416,佳冬,Jiadong,22.4140473,120.5477445
1417,東海,Donghai,22.398953,120.572349
1418,枋寮,Fangliao,22.368023,120.595113
1502,加祿,Jialu,22.330971,120.6246209
1503,內獅,Neishi,22.306185,120.643347
1504,枋山,Fangshan,22.267061,120.6595037
1508,大武,Dawu,22.365216,120.900799
1510,瀧溪,Longxi,22.460975,120.9418054
1512,金崙,Jinlun,22.531571,120.967249
1514,太麻里,Taimali,22.618824,121.004962
1516,知本,Zhiben,22.7102202,121.0607159
1517,康樂,Kangle,22.7643118,121.0935742
1632,臺東,Taitung,22.793771,121.123087
1631,山里,Shanli,22.8618774,121.1378194
1630,鹿野,Luye,22.912473,121.137010
1629,瑞源,Ruiyuan,22.9559926,121.1589643
1628,瑞和,Ruihe,22.979988,121.155845
1626,關山,Guanshan,23.045665,121.164373
1625,海端,Haiduan,23.102930,121.176847
1624,池上,Chishang,23.126116,121.219464
1623,富里,Fuli,23.179142,121.248675
1622,東竹,Dongzhu,23.2260299,121.2784175
1621,東里,Dongli,23.272473,121.304112
1619,玉里,Yuli,23.331593,121.311810
1617,三民,Sanmin,23.424537,121.345397
1616,瑞穗,Ruisui,23.4973765,121.3768415
1614,富源,Fuyuan,23.580268,121.380122
1613,大富,Dafu,23.605688,121.389624
1612,光復,Guangfu,23.666379,121.421208
1611,萬榮,Wanrong,23.711977,121.419066
1610,鳳林,Fenglin,23.746353,121.446993
1609,南平,Nanping,23.7822947,121.4582425
1608,林榮新光,"Linrong Shin Kong",23.801857,121.461753
1607,豐田,Fengtian,23.8485241,121.4961493
1606,壽豐,Shoufeng,23.869016,121.510633
1605,平和,Pinghe,23.8827619,121.5204476
1604,志學,Zhixue,23.9075721,121.5293964
1602,吉安,Jian,23.968026,121.582697
1715,花蓮,Hualien,23.9940269,121.601243
1714,北埔,Beipu,24.032517,121.601641
1713,景美,Jingmei,24.091092,121.611150
1712,新城,Xincheng,24.1275453,121.6408721
1711,崇德,Chongde,24.172134,121.655497
1710,和仁,Heren,24.2422085,121.7118353
1709,和平,Heping,24.298295,121.753345
1708,漢本,Hanben,24.335428,121.768354
1706,武塔,Wuta,24.4491638,121.7757812
1705,南澳,Nanao,24.463205,121.800975
1704,東澳,Dongao,24.51828,121.830704
1703,永樂,Yongle,24.568417,121.844564
1827,蘇澳,Suao,24.595199,121.851514
1826,蘇澳新,Suaoxin,24.6087,121.827453
1825,新馬,Xinma,24.615395,121.8229
1824,冬山,Dongshan,24.6367618,121.792024
1823,羅東,Luodong,24.6779247,121.7747138
1822,中里,"Zhongli (Yilan)",24.694165,121.775255
1821,二結,Erjie,24.705301,121.77418
1820,宜蘭,Yilan,24.754470,121.758100
1819,四城,Sicheng,24.786801,121.762727
1818,礁溪,Jiaoxi,24.8270345,121.7753536
1817,頂埔,Dingpu,24.843913,121.809097
1816,頭城,Toucheng,24.8589514,121.822543
1815,外澳,Waiao,24.8837201,121.8457786
1814,龜山,Guishan,24.9048837,121.8688754
1813,大溪,Daxi,24.9383724,121.889822
1812,大里,Dali,24.966759,121.922487
1811,石城,Shicheng,24.978352,121.9454519
1908,菁桐,Jingtong,25.023915,121.7239159
1907,平溪,Pingxi,25.025574,121.740014
1906,嶺腳,Lingjiao,25.0302012,121.7479383
1905,望古,Wanggu,25.0346149,121.7638065
1904,十分,Shifen,25.0409838,121.7749723
1903,大華,Dahua,25.0498968,121.7975367
6103,海科館,"Haikeguan (Museum Station)",25.1375568,121.8000871
2003,八斗子,Badouzi,25.1352871,121.8028626
2212,千甲,Qianjia,24.8066779,121.0032786
2213,新莊,Xinzhuang,24.788169,121.021809
2203,竹中,Zhuzhong,24.781296,121.031296
2214,六家,Liujia,24.807527,121.0393
2204,上員,Shangyuan,24.777816,121.055710
2211,榮華,Ronghua,24.748484,121.083006
2205,竹東,Zhudong,24.7382204,121.0947419
2206,橫山,Hengshan,24.720401,121.117702
2207,九讚頭,Jiuzantou,24.7206278,121.1361858
2208,合興,Hexing,24.716709,121.15439
2209,富貴,Fugui,24.7155494,121.1674409
2210,內灣,Neiwan,24.7054312,121.1824718
2703,濁水,Zhuoshui,23.834664,120.704719
2704,龍泉,Longquan,23.8352317,120.749999
2705,集集,Jiji,23.8264663,120.7848692
2706,水里,Shuili,23.818484,120.853293
2707,車埕,Checheng,23.8326153,120.8661169
5101,長榮大學,"Chang Jung Christian University",22.907403,120.2726489
5102,沙崙,Shalun,22.9240443,120.2862667
1033,北湖,"Beihu(China University of Technology)",24.922226,121.055735
1021,湖口,Hukou,24.902929,121.043785
1022,新豐,Xinfeng,24.8692531,120.9964533
1023,竹北,Zhubei,24.839123,121.009281
1024,北新竹,"North Hsinchu",24.8086168,120.9837744
1025,新竹,Hsinchu,24.802175,120.972378
1035,三姓橋,Sanxingqiao,24.787326,120.928405
1026,香山,Xiangshan,24.7631021,120.9138794
1027,崎頂,Qiding,24.722882,120.871876
1028,竹南,Zhunan,24.686554,120.880526
1102,談文,Tanwen,24.656414,120.858241
1104,大山,Dashan,24.6456451,120.803762
1105,後龍,Houlong,24.616261,120.787275
1106,龍港,Longgang,24.611682,120.758141
1107,白沙屯,Baishatun,24.564796,120.708197
1108,新埔,Xinpu,24.8271066,121.0755922
1109,通霄,Tongxiao,24.491403,120.678424
1110,苑裡,Yuanli,24.4434592,120.6514528
1302,造橋,Zaoqiao,24.6418352,120.8672128
1304,豐富,Fengfu,24.60439,120.8262086
1305,苗栗,Miaoli,24.570013,120.822283
1307,南勢,Nanshi,24.52248,120.791544
1308,銅鑼,Tongluo,24.4863229,120.7861605
1310,三義,Sanyi,24.420755,120.773972
1111,日南,Rinan,24.3780468,120.6541342
1112,大甲,Dajia,24.344429,120.627040
1113,臺中港,"Taichung Port",24.3044069,120.6022945
1114,清水,Qingshui,24.263637,120.569132
1115,沙鹿,Shalu,24.237005,120.557290
1116,龍井,Longjing,24.1974736,120.5433486
1117,大肚,Dadu,24.1550185,120.5425336
1118,追分,Zhuifen,24.1205254,120.5701615
1314,泰安,Taian,24.3312173,120.7418134
1315,后里,Houli,24.309350,120.732892
1317,豐原,Fengyuan,24.2541919,120.7234816
1325,栗林,Lilin,24.234603,120.710594
1318,潭子,Tanzi,24.212722,120.705912
1326,頭家厝,Toujiacuo,24.195297,120.703979
1327,松竹,Songzhu,24.1802159,120.7019765
1323,太原,Taiyuan,24.1642186,120.6998124
1328,精武,Jingwu,24.149061,120.697784
1319,臺中,Taichung,24.1117411,120.6157315
1329,五權,Wuquan,24.1290265,120.666962
1322,大慶,Daqing,24.1194745,120.6487408
1320,烏日,Wuri,24.1117411,120.6157315
1324,新烏日,Xinwuri,24.1098799,120.6143271
1321,成功,Chenggong,24.1142692,120.5901787
1120,彰化,Changhua,24.081621,120.538442
1202,花壇,Huatan,24.0250008,120.5373324
1240,大村,Dacun,23.989975,120.560609
1203,員林,Yuanlin,23.9592021,120.5696664
1204,永靖,Yongjing,23.928009,120.571717
1205,社頭,Shetou,23.89571,120.5808
1206,田中,Tianzhong,23.858368,120.591497
1207,二水,Ershui,23.8132209,120.6180581
2702,源泉,Yuanquan,23.798615,120.641868
1208,林內,Linnei,23.7597574,120.6149759
1209,石榴,Shiliu,23.731684,120.579957
1210,斗六,Douliu,23.711907,120.541030
1211,斗南,Dounan,23.6729716,120.4808406
1212,石龜,Shigui,23.6395499,120.4710454
1213,大林,Dalin,23.600800,120.455717
1214,民雄,Minxiong,23.555199,120.431667
1241,嘉北,Jiabei,23.499805,120.448453
1215,嘉義,Chiayi,23.479089,120.441106
1217,水上,Shuishang,23.433976,120.399706
1218,南靖,Nanjing,23.413433,120.386539
1219,後壁,Houbi,23.3662336,120.3605376
1220,新營,Xinying,23.3067226,120.3231129
1221,柳營,Liuying,23.277502,120.322574
1222,林鳳營,Linfengying,23.2425712,120.3210204
1223,隆田,Longtian,23.192707,120.319202
1224,拔林,Balin,23.1726018,120.3213085
1225,善化,Shanhua,23.133327,120.306553
1244,南科,Nanke,23.1073295,120.3020618
1226,新市,Xinshi,23.068228,120.289992
1227,永康,Yongkang,23.038392,120.253455
1239,大橋,Daqiao,23.0193147,120.2243265
1228,臺南,Tainan,22.997037,120.212655
1229,保安,Baoan,22.9329597,120.2316458
1243,仁德,Rende,22.9234,120.240447
1230,中洲,Zhongzhou,22.9045637,120.2526862
NULL,雲林,Yunlin,23.7363,120.4166
NULL,中央號誌,"Central Signal",22.2749538,120.7414932
NULL,枋野號誌站,Fangye,22.280849,120.717102
NULL,古莊車站,"Guzhuang Station",22.3455311,120.8780089
NULL,中央號誌站,"Zhongyanghaozhi Station",22.2749538,120.7414932
NULL,阿里山,Alishan,23.5191736,120.8066818
NULL,北門,Beimen,23.488556,120.454665
NULL,嘉義,Chiayi,23.4594976,120.3232815
NULL,祝山,Chushan,23.510242,120.8231263
NULL,對高岳,Duigaoyue,23.519655,120.820088
NULL,多林,Duolin,23.498744,120.7305249
NULL,獨立山,Dulishan,23.538643,120.607699
NULL,二萬平,Erwanping,23.5089758,120.7901494
NULL,奮起湖,Fenqihu,23.505324,120.695108
NULL,交力坪,Jiaoliping,23.5314592,120.6437965
NULL,梨園寮,Liyuanliao,23.54236,120.620025
NULL,鹿麻產,Lumachan,23.504200,120.531425
NULL,木履寮,Mululiao,23.537355,120.577142
NULL,屏遮那,Pingzhena,23.5111446,120.7802124
NULL,神木,Shenmu,23.5191736,120.8066818
NULL,十字路,Shizilu,23.492747,120.754739
NULL,水社寮,Shuisheliao,23.5043991,120.6595746
NULL,樟腦寮,Zhangnaoliao,23.5329506,120.6024605
NULL,沼平,Zhaoping,23.51441,120.813871
NULL,竹崎,Zhuqi,23.525837,120.553579
